age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,subscription_probability,predicted_subscription,campaign_priority,customer_rank
33,admin.,single,university.degree,no,no,no,cellular,mar,mon,1,6,2,success,-1.8,93.369,-34.8,0.646,5008.7,1,0.956836612236595,yes,High,59
36,unemployed,married,high.school,no,yes,no,cellular,oct,mon,1,3,1,success,-1.1,94.601,-49.5,1.032,4963.6,1,0.9567813228724943,yes,High,60
21,student,single,high.school,no,yes,no,cellular,aug,tue,3,9,2,success,-1.7,94.027,-38.3,0.899,4991.6,1,0.9567642096331223,yes,High,61
31,admin.,single,university.degree,no,yes,no,cellular,jul,fri,2,13,2,success,-1.7,94.215,-40.3,0.861,4991.6,1,0.9566661888686055,yes,High,62
80,retired,married,basic.4y,no,no,no,cellular,may,mon,1,3,3,success,-1.8,93.876,-40.0,0.697,5008.7,1,0.9566067554403238,yes,High,63
35,admin.,married,university.degree,no,no,no,cellular,jul,mon,2,3,4,success,-1.7,94.215,-40.3,0.889,4991.6,0,0.9562489592513037,yes,High,64
30,admin.,single,university.degree,no,no,no,cellular,may,tue,1,6,1,success,-1.8,93.876,-40.0,0.668,5008.7,0,0.9561317407684448,yes,High,65
47,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,0.9561303435122289,yes,High,66
59,retired,divorced,basic.4y,no,yes,yes,cellular,jul,mon,1,6,1,success,-1.7,94.215,-40.3,0.827,4991.6,1,0.9555932361117879,yes,High,67
37,management,married,university.degree,no,yes,no,cellular,oct,thu,3,5,5,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.9549769023809805,yes,High,68
45,admin.,divorced,university.degree,no,no,yes,cellular,jun,wed,1,3,2,success,-1.7,94.055,-39.8,0.739,4991.6,0,0.9548902120377394,yes,High,69
60,retired,married,professional.course,no,yes,yes,cellular,jul,thu,4,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,0,0.9541626460713964,yes,High,70
30,admin.,single,university.degree,no,yes,no,cellular,jul,tue,2,3,1,success,-1.7,94.215,-40.3,0.797,4991.6,0,0.9541178470055335,yes,High,71
36,management,married,university.degree,no,no,no,cellular,jun,tue,1,3,2,success,-1.7,94.055,-39.8,0.737,4991.6,1,0.9536434692838032,yes,High,72
46,technician,married,professional.course,no,no,yes,cellular,apr,tue,1,5,2,success,-1.8,93.749,-34.6,0.638,5008.7,1,0.9533342870857894,yes,High,73
65,retired,married,basic.4y,no,yes,yes,cellular,oct,wed,1,3,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.9532627667469595,yes,High,74
20,student,single,basic.9y,no,yes,no,cellular,jul,thu,3,6,3,success,-1.7,94.215,-40.3,0.846,4991.6,1,0.9521510167275962,yes,High,75
26,technician,single,university.degree,no,no,no,cellular,jul,fri,2,6,1,success,-1.7,94.215,-40.3,0.861,4991.6,0,0.9511404705094839,yes,High,76
37,technician,married,professional.course,no,yes,yes,cellular,mar,wed,1,9,1,success,-1.8,93.369,-34.8,0.644,5008.7,0,0.951066606811538,yes,High,77
65,management,married,unknown,no,no,no,cellular,dec,wed,2,9,1,success,-3.0,92.713,-33.0,0.715,5023.5,1,0.9509580823902426,yes,High,78
34,admin.,divorced,high.school,no,no,no,cellular,nov,tue,2,6,3,success,-3.4,92.649,-30.1,0.716,5017.5,0,0.9505457015033886,yes,High,79
61,management,married,university.degree,no,yes,no,cellular,nov,tue,1,7,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9494159916952954,yes,High,80
26,student,single,high.school,no,yes,yes,cellular,apr,fri,1,6,2,success,-1.8,93.749,-34.6,0.645,5008.7,1,0.9493913145057341,yes,High,81
29,admin.,single,high.school,no,yes,no,cellular,nov,fri,2,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9492042805836945,yes,High,82
56,retired,married,professional.course,no,unknown,unknown,cellular,oct,thu,1,6,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,0.9481415686720669,yes,High,83
34,technician,married,professional.course,no,yes,no,cellular,oct,wed,2,8,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,0.947990024705741,yes,High,84
31,admin.,single,university.degree,no,unknown,unknown,cellular,oct,tue,1,3,1,success,-1.1,94.601,-49.5,1.008,4963.6,1,0.9473240504417773,yes,High,85
37,admin.,married,university.degree,no,unknown,unknown,cellular,jun,fri,1,10,1,success,-1.7,94.055,-39.8,0.719,4991.6,1,0.9455500161615331,yes,High,86
30,student,single,unknown,no,no,no,cellular,mar,thu,1,14,1,success,-1.8,93.369,-34.8,0.635,5008.7,1,0.9455411651511262,yes,High,87
26,admin.,married,high.school,no,yes,no,cellular,nov,fri,1,7,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9455038046449286,yes,High,88
60,unemployed,married,basic.4y,no,no,no,cellular,nov,thu,2,6,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9454296307313835,yes,High,89
29,admin.,married,high.school,no,yes,no,cellular,jun,tue,2,13,1,success,-1.7,94.055,-39.8,0.723,4991.6,1,0.9453348147820763,yes,High,90
33,student,married,professional.course,no,yes,no,cellular,aug,mon,3,3,4,success,-1.7,94.027,-38.3,0.896,4991.6,1,0.9448206686719133,yes,High,91
32,admin.,single,university.degree,no,no,no,cellular,jun,tue,1,12,2,success,-1.7,94.055,-39.8,0.737,4991.6,1,0.9447713648965039,yes,High,92
26,admin.,single,university.degree,no,no,yes,cellular,jun,fri,2,6,1,success,-1.7,94.055,-39.8,0.732,4991.6,0,0.9441234390024834,yes,High,93
60,self-employed,divorced,university.degree,no,no,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.755,5017.5,1,0.9432439472851641,yes,High,94
37,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,3,9,1,success,-2.9,92.201,-31.4,0.851,5076.2,1,0.9430529967231694,yes,High,95
30,admin.,married,university.degree,no,no,yes,cellular,may,mon,2,9,2,success,-1.8,93.876,-40.0,0.701,5008.7,0,0.9429627066192278,yes,High,96
23,student,single,university.degree,no,yes,no,cellular,dec,fri,2,6,2,success,-3.0,92.713,-33.0,0.718,5023.5,0,0.9428727468984794,yes,High,97
24,admin.,single,university.degree,no,yes,yes,cellular,aug,fri,5,6,2,success,-1.7,94.027,-38.3,0.905,4991.6,0,0.9427292407114173,yes,High,98
83,retired,married,high.school,no,no,no,cellular,dec,thu,1,4,3,success,-3.0,92.713,-33.0,0.72,5023.5,1,0.942649629279303,yes,High,99
30,technician,married,university.degree,no,yes,no,cellular,dec,thu,2,6,1,success,-3.0,92.713,-33.0,0.72,5023.5,1,0.9421727543842451,yes,High,100
35,technician,single,professional.course,no,yes,no,cellular,jun,tue,1,6,2,success,-1.7,94.055,-39.8,0.713,4991.6,1,0.9417638627876869,yes,High,101
32,admin.,married,university.degree,no,no,yes,cellular,jun,thu,3,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0.9416782292807898,yes,High,102
29,management,married,university.degree,no,yes,no,cellular,nov,wed,1,9,1,success,-3.4,92.649,-30.1,0.719,5017.5,0,0.9413741926434036,yes,High,103
47,technician,married,basic.6y,no,no,no,cellular,sep,mon,2,6,3,success,-1.1,94.199,-37.5,0.882,4963.6,0,0.9412000132423564,yes,High,104
77,retired,married,university.degree,no,yes,no,telephone,may,wed,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.9411340411547453,yes,High,105
36,blue-collar,single,high.school,no,yes,yes,cellular,jun,wed,2,3,1,success,-1.7,94.055,-39.8,0.739,4991.6,1,0.9404894183846014,yes,High,106
62,retired,married,university.degree,no,no,no,cellular,nov,thu,2,6,3,success,-1.1,94.767,-50.8,1.031,4963.6,1,0.9402207590689019,yes,High,107
63,admin.,married,university.degree,no,yes,no,cellular,oct,thu,2,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,0,0.9399723366997762,yes,High,108
56,technician,married,basic.4y,no,no,no,cellular,oct,thu,3,3,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,0.9382499745984816,yes,High,109
56,admin.,married,university.degree,no,yes,no,cellular,sep,thu,2,3,2,success,-3.4,92.379,-29.8,0.778,5017.5,1,0.9376511981794539,yes,High,110
31,technician,married,university.degree,no,yes,yes,cellular,oct,tue,4,6,2,success,-1.1,94.601,-49.5,0.982,4963.6,1,0.9356882766931399,yes,High,111
25,admin.,single,university.degree,no,yes,no,cellular,sep,thu,1,1,1,success,-3.4,92.379,-29.8,0.809,5017.5,0,0.9350790617830612,yes,High,112
38,entrepreneur,married,basic.6y,no,no,no,cellular,jun,tue,1,2,3,success,-1.7,94.055,-39.8,0.761,4991.6,1,0.9349169549355961,yes,High,113
25,admin.,single,university.degree,no,yes,yes,cellular,jun,tue,3,4,1,success,-2.9,92.963,-40.8,1.286,5076.2,0,0.9343561375340182,yes,High,114
43,self-employed,married,university.degree,no,yes,no,cellular,mar,mon,2,9,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,0.9339265660441345,yes,High,115
34,technician,single,basic.9y,no,no,no,cellular,aug,mon,3,6,3,success,-1.7,94.027,-38.3,0.896,4991.6,1,0.9338343429572963,yes,High,116
37,technician,married,professional.course,no,no,no,cellular,apr,thu,1,18,1,success,-1.8,93.749,-34.6,0.659,5008.7,1,0.933434211180785,yes,High,117
35,technician,divorced,basic.4y,no,yes,no,cellular,nov,tue,3,4,2,success,-1.1,94.767,-50.8,1.035,4963.6,1,0.9330357888559005,yes,High,118
27,admin.,married,university.degree,no,yes,no,cellular,aug,tue,5,12,1,success,-1.7,94.027,-38.3,0.886,4991.6,1,0.9326979672284221,yes,High,119
56,technician,divorced,professional.course,no,no,no,cellular,oct,mon,1,3,2,success,-1.1,94.601,-49.5,1.0,4963.6,1,0.9323452882274756,yes,High,120
25,services,single,unknown,no,yes,no,cellular,jun,tue,2,3,3,success,-1.7,94.055,-39.8,0.702,4991.6,1,0.930824713483312,yes,High,121
43,admin.,married,high.school,no,yes,no,cellular,dec,tue,4,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,0,0.9294515257758114,yes,High,122
53,housemaid,married,basic.4y,no,no,yes,telephone,nov,wed,1,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9294151457798817,yes,High,123
50,management,married,university.degree,no,yes,no,cellular,oct,thu,2,4,1,success,-3.4,92.431,-26.9,0.754,5017.5,1,0.9286528396132957,yes,High,124
34,technician,single,unknown,no,yes,no,cellular,aug,thu,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,1,0.9265196693866572,yes,High,125
27,unknown,single,university.degree,no,yes,no,cellular,jun,wed,4,3,2,success,-1.7,94.055,-39.8,0.767,4991.6,1,0.925737954586783,yes,High,126
73,retired,married,basic.4y,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.835,4991.6,1,0.9256541935677515,yes,High,127
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,1,3,1,success,-1.8,93.369,-34.8,0.639,5008.7,1,0.9255904071554691,yes,High,128
45,admin.,married,university.degree,no,no,no,cellular,sep,mon,1,3,2,success,-3.4,92.379,-29.8,0.797,5017.5,1,0.923872316350735,yes,High,129
30,technician,unknown,university.degree,no,no,no,cellular,oct,fri,2,16,1,success,-1.1,94.601,-49.5,0.942,4963.6,0,0.9234831123971304,yes,High,130
40,services,married,professional.course,no,yes,no,cellular,oct,thu,1,3,1,success,-3.4,92.431,-26.9,0.74,5017.5,1,0.9231597188998012,yes,High,131
25,technician,single,university.degree,no,yes,no,cellular,jun,fri,2,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,0,0.9231349744059419,yes,High,132
74,retired,divorced,basic.4y,no,yes,no,cellular,oct,mon,3,3,2,success,-1.1,94.601,-49.5,1.0,4963.6,0,0.9216978221175562,yes,High,133
25,admin.,single,university.degree,no,no,yes,cellular,nov,mon,1,3,2,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9214554326690203,yes,High,134
35,blue-collar,married,basic.9y,no,yes,no,cellular,dec,thu,1,4,3,success,-3.0,92.713,-33.0,0.707,5023.5,0,0.9200023890348075,yes,High,135
40,services,married,high.school,no,yes,no,cellular,nov,thu,3,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9199783391053391,yes,High,136
49,admin.,married,high.school,unknown,no,no,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.9199293638510763,yes,High,137
36,housemaid,single,university.degree,no,unknown,unknown,cellular,aug,fri,2,3,1,success,-2.9,92.201,-31.4,0.825,5076.2,0,0.9193521690014804,yes,High,138
30,admin.,single,university.degree,no,yes,yes,cellular,aug,tue,1,4,1,success,-2.9,92.201,-31.4,0.883,5076.2,0,0.9189260695452551,yes,High,139
35,technician,single,professional.course,no,yes,no,cellular,jul,tue,6,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,0.9185724563897385,yes,High,140
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,1,0.9182976799886565,yes,High,141
63,housemaid,married,basic.4y,no,yes,no,cellular,sep,wed,1,3,1,success,-3.4,92.379,-29.8,0.749,5017.5,1,0.9176969136003679,yes,High,142
51,admin.,divorced,high.school,no,yes,no,cellular,aug,tue,1,6,1,success,-2.9,92.201,-31.4,0.838,5076.2,1,0.9170595494873527,yes,High,143
52,admin.,married,university.degree,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,93.876,-40.0,0.677,5008.7,0,0.9168568545867554,yes,High,144
25,services,single,high.school,no,yes,no,cellular,jun,thu,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0.916443299450687,yes,High,145
61,retired,married,basic.4y,no,yes,no,cellular,aug,fri,1,15,1,success,-2.9,92.201,-31.4,0.849,5076.2,1,0.9154067542730239,yes,High,146
60,retired,married,professional.course,no,yes,no,cellular,sep,thu,1,3,1,success,-3.4,92.379,-29.8,0.809,5017.5,1,0.9152192913781781,yes,High,147
48,admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,1,4,1,success,-2.9,92.201,-31.4,0.881,5076.2,0,0.9150557075153226,yes,High,148
34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,2,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,0,0.9148720181678334,yes,High,149
85,retired,single,professional.course,no,no,no,cellular,mar,fri,7,7,2,success,-1.8,93.369,-34.8,0.653,5008.7,0,0.9146022922366587,yes,High,150
42,blue-collar,married,basic.6y,no,yes,yes,cellular,mar,tue,1,7,3,failure,-1.8,93.369,-34.8,0.652,5008.7,1,0.9142663038223198,yes,High,151
46,admin.,married,university.degree,no,yes,no,cellular,mar,thu,1,999,0,nonexistent,-1.8,93.369,-34.8,0.65,5008.7,1,0.9141290469870346,yes,High,152
80,retired,divorced,basic.4y,no,yes,yes,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,1,0.9140178696244025,yes,High,153
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,1,0.9138602451811046,yes,High,154
66,management,divorced,university.degree,no,no,no,cellular,sep,tue,1,1,1,success,-3.4,92.379,-29.8,0.788,5017.5,1,0.9138048126452406,yes,High,155
57,unknown,married,basic.4y,no,yes,no,cellular,jul,wed,3,999,0,nonexistent,-1.7,94.215,-40.3,0.802,4991.6,0,0.9134445019252003,yes,High,156
70,admin.,married,basic.4y,no,yes,yes,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,1,0.9120957438721398,yes,High,157
66,retired,married,basic.4y,unknown,unknown,unknown,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.9119051534222192,yes,High,158
22,student,single,high.school,no,no,no,cellular,oct,fri,3,6,1,success,-3.4,92.431,-26.9,0.73,5017.5,1,0.9118338006129001,yes,High,159
98,retired,married,basic.4y,unknown,yes,no,cellular,oct,fri,1,2,2,success,-3.4,92.431,-26.9,0.73,5017.5,1,0.9116926158848474,yes,High,160
53,unknown,married,professional.course,no,no,no,cellular,jun,thu,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,0,0.9109719429845543,yes,High,161
40,blue-collar,divorced,professional.course,no,no,no,cellular,jun,wed,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0.9108588269342041,yes,High,162
52,admin.,married,professional.course,no,no,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.893,4991.6,1,0.9108166774722328,yes,High,163
28,services,single,basic.6y,no,no,no,cellular,jun,wed,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0.9107943014352771,yes,High,164
37,admin.,married,high.school,no,yes,no,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,0,0.9105265678130106,yes,High,165
42,self-employed,married,university.degree,no,yes,no,cellular,jun,wed,1,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0.9097888965287095,yes,High,166
49,admin.,married,high.school,no,no,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,1,0.9093165327350069,yes,High,167
28,management,single,university.degree,no,yes,no,cellular,jun,thu,1,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0.9090792764024814,yes,High,168
41,technician,married,professional.course,no,no,no,cellular,nov,mon,2,6,1,success,-1.1,94.767,-50.8,1.039,4963.6,1,0.908889240623225,yes,High,169
27,admin.,single,university.degree,no,no,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.637,5008.7,1,0.908357826644638,yes,High,170
45,admin.,married,university.degree,no,no,no,cellular,jul,wed,1,13,1,success,-2.9,92.469,-33.6,1.029,5076.2,0,0.9082646591317644,yes,High,171
40,technician,single,university.degree,no,yes,no,cellular,nov,mon,2,3,1,success,-3.4,92.649,-30.1,0.714,5017.5,0,0.9075712380350612,yes,High,172
85,retired,divorced,basic.4y,unknown,yes,no,cellular,dec,mon,3,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,1,0.9066420288783723,yes,High,173
46,housemaid,single,university.degree,no,yes,yes,cellular,jun,fri,1,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,1,0.9063779358762918,yes,High,174
33,management,married,university.degree,no,no,no,telephone,aug,thu,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,1,0.90630506841583,yes,High,175
